,disease_id,v_count,p_count,k_count
0,DECIPHER:1,4,1,0
1,DECIPHER:14,3,1,1
2,DECIPHER:15,5,2,0
3,DECIPHER:16,5,1,1
4,DECIPHER:17,4,1,0
5,DECIPHER:18,4,1,1
6,DECIPHER:19,4,1,1
7,DECIPHER:2,2,1,0
8,DECIPHER:20,4,2,2
9,DECIPHER:21,5,0,0
10,DECIPHER:29,8,0,0
11,DECIPHER:3,6,1,0
12,DECIPHER:31,2,0,0
13,DECIPHER:32,2,1,0
14,DECIPHER:34,3,2,2
15,DECIPHER:35,3,1,1
16,DECIPHER:37,3,1,0
17,DECIPHER:38,4,0,0
18,DECIPHER:39,6,1,0
19,DECIPHER:4,4,1,0
20,DECIPHER:42,8,1,1
21,DECIPHER:43,2,1,1
22,DECIPHER:44,3,1,1
23,DECIPHER:45,30,5,9
24,DECIPHER:46,10,2,0
25,DECIPHER:47,1,2,2
26,DECIPHER:48,2,0,1
27,DECIPHER:51,7,3,0
28,DECIPHER:52,8,1,0
29,DECIPHER:53,3,1,1
30,DECIPHER:54,4,1,0
31,DECIPHER:57,4,1,0
32,DECIPHER:58,4,0,0
33,DECIPHER:59,4,0,0
34,DECIPHER:62,1,1,0
35,DECIPHER:65,1,1,0
36,DECIPHER:66,6,1,0
37,DECIPHER:67,1,2,1
38,DECIPHER:68,3,1,0
39,DECIPHER:70,9,1,1
40,DECIPHER:72,3,1,0
41,DECIPHER:74,2,1,0
42,DECIPHER:76,2,2,1
43,DECIPHER:8,8,1,0
44,DECIPHER:81,37,3,3
45,DECIPHER:85,1,1,1
46,DECIPHER:92,2,1,1
47,OMIM:100050,40,6,2
48,OMIM:100070,4,0,0
49,OMIM:100100,18,1,3
50,OMIM:100200,3,0,0
51,OMIM:100300,36,6,5
52,OMIM:100600,1,1,0
53,OMIM:100700,6,0,0
54,OMIM:100800,26,1,3
55,OMIM:100820,2,0,0
56,OMIM:101000,22,12,12
57,OMIM:101200,65,7,8
58,OMIM:101400,45,4,3
59,OMIM:101600,27,2,1
60,OMIM:101800,47,6,3
61,OMIM:101805,13,3,1
62,OMIM:101840,4,2,0
63,OMIM:101850,2,0,1
64,OMIM:101900,5,0,2
65,OMIM:102000,1,1,0
66,OMIM:102100,8,0,1
67,OMIM:102150,16,1,3
68,OMIM:102200,12,1,5
