,Phenotype_ID
0,HP:0000036
1,HP:0000045
2,HP:0000217
3,HP:0000360
4,HP:0000364
5,HP:0000458
6,HP:0000496
7,HP:0000504
8,HP:0000508
9,HP:0000643
10,HP:0000712
11,HP:0000716
12,HP:0000958
13,HP:0000961
14,HP:0000972
15,HP:0000982
16,HP:0001051
17,HP:0001250
18,HP:0001279
19,HP:0001281
20,HP:0001337
21,HP:0001457
22,HP:0001604
23,HP:0001609
24,HP:0001649
25,HP:0001662
26,HP:0001686
27,HP:0001760
28,HP:0001762
29,HP:0001808
30,HP:0001809
31,HP:0002014
32,HP:0002027
33,HP:0002035
34,HP:0002167
35,HP:0002315
36,HP:0002321
37,HP:0002329
38,HP:0002381
39,HP:0002793
40,HP:0002816
41,HP:0002857
42,HP:0002970
43,HP:0002979
44,HP:0002999
45,HP:0003270
46,HP:0003306
47,HP:0003394
48,HP:0003418
49,HP:0003470
50,HP:0003510
51,HP:0004305
52,HP:0004322
53,HP:0004374
54,HP:0004409
55,HP:0004684
56,HP:0004976
57,HP:0005588
58,HP:0005986
59,HP:0006487
60,HP:0006488
61,HP:0006607
62,HP:0006649
63,HP:0006921
64,HP:0006937
65,HP:0007066
66,HP:0007403
67,HP:0007404
68,HP:0007447
69,HP:0007469
70,HP:0007497
71,HP:0007530
72,HP:0007545
73,HP:0007553
74,HP:0007556
75,HP:0007596
76,HP:0008480
77,HP:0008948
78,HP:0008956
79,HP:0009027
80,HP:0010551
81,HP:0010628
82,HP:0010674
83,HP:0010765
84,HP:0010793
85,HP:0010830
86,HP:0011001
87,HP:0011297
88,HP:0011868
89,HP:0012722
90,HP:0025124
91,HP:0025238
92,HP:0025258
93,HP:0025262
94,HP:0025264
95,HP:0025406
96,HP:0025524
97,HP:0030157
98,HP:0030164
99,HP:0030182
100,HP:0030766
101,HP:0030804
102,HP:0030816
103,HP:0030839
104,HP:0030840
105,HP:0030857
106,HP:0031006
107,HP:0031051
108,HP:0031057
109,HP:0031249
110,HP:0031250
111,HP:0031258
112,HP:0031466
113,HP:0031520
114,HP:0031921
115,HP:0032155
116,HP:0032545
117,HP:0033180
118,HP:0033589
119,HP:0033748
120,HP:0040181
121,HP:0040211
122,HP:0040264
123,HP:0045086
124,HP:0100247
125,HP:0100679
126,HP:0100749
127,HP:0100753
128,HP:0100781
129,HP:0100785
130,HP:0100813
131,HP:0100872
132,HP:0200025
133,HP:0200026
